Make,Year,Condition,Mileage,Price,Seller Rating,Interior color,Drivetrain,Min MPG,Max MPG,Fuel type,Engine Size (L),Accidents or damage,1-owner vehicle
Lexus,2021,Used,24960.0,35988.0,4.9,Cream ,AWD,22.0,28.0,Gasoline ,2.0,0.0,True
Mercedes-Benz,2016,Used,76481.0,21495.0,5.0,Black ,AWD,17.0,22.0,E85 Flex Fuel ,3.5,1.0,True
Lexus,2019,Used,78966.0,26988.0,4.9,Black ,AWD,22.0,28.0,Gasoline ,2.0,0.0,False
Nissan,2016,Used,77129.0,16491.0,4.7,Black ,AWD,21.0,28.0,Gasoline ,3.5,0.0,True
Toyota,2021,Used,24866.0,36990.0,3.9,Black ,AWD,0.0,0.0,Gasoline ,2.5,0.0,False
Jeep,2020,Used,44413.0,20989.0,4.7,Black ,4WD,22.0,31.0,Gasoline ,2.4,0.0,True
Mercedes-Benz,2016,Used,82948.0,18995.0,3.9,Black ,AWD,17.0,22.0,E85 Flex Fuel ,3.5,0.0,False
Nissan,2017,Used,61652.0,21980.0,4.6,Black ,4WD,0.0,0.0,Gasoline ,5.6,0.0,False
Ford,2020,Used,46493.0,18980.0,4.6,Dark Earth Gray ,AWD,26.0,31.0,Gasoline ,1.5,0.0,True
Chevrolet,2017,Used,131000.0,9900.0,4.381503720140973,Black ,FWD,20.59922502075837,28.0,Plug-In Hybrid ,1.5,0.0,False
Mercedes-Benz,2016,Used,74456.0,18555.0,4.3,Black ,AWD,21.0,0.0,Gasoline ,2.0,0.0,False
Cadillac,2018,Used,37459.0,40989.0,4.381503720140973,Jet Black ,AWD,18.0,26.0,Gasoline ,3.0,0.0,False
Chevrolet,2014,Used,24373.0,45390.0,4.3,Adrenaline Red ,RWD,17.0,29.0,Gasoline ,6.2,1.0,False
BMW,2018,Used,49668.0,31855.0,4.3,Black ,RWD,21.0,32.0,Gasoline ,3.0,0.0,False
BMW,2017,Used,38844.0,37749.0,4.3,Black ,AWD,15.0,24.0,Gasoline ,4.4,1.0,False
Porsche,2021,Used,29717.0,66888.0,4.3,Graphite Blue ,AWD,20.59922502075837,28.0,Hybrid ,3.0,0.0,False
Scion,2014,Used,49051.0,12200.0,4.5,Dark Charcoal ,FWD,22.0,28.0,Gasoline ,2.4,1.0,False
Nissan,2018,Used,63620.0,30995.0,4.4,Gray ,RWD,20.59922502075837,28.0,Gasoline ,5.6,0.0,True
INFINITI,2019,Used,43389.0,29589.0,4.5,Tan ,AWD,19.0,27.0,Gasoline ,3.0,0.0,False
Buick,2020,Used,30454.0,24989.0,4.5,Ebony ,AWD,21.0,27.0,Gasoline ,2.5,0.0,True
Jaguar,2017,Used,36622.0,27706.0,4.4,Jet/London Tan ,AWD,17.0,26.0,Gasoline ,3.0,1.0,False
BMW,2023,Used,33811.0,38900.0,4.1,Black ,AWD,21.0,28.0,Gasoline ,2.0,0.0,True
Dodge,2019,Used,92065.0,14500.0,4.8,Black ,FWD,17.0,25.0,– ,3.6,1.0,True
Volkswagen,2016,Used,12713.0,27875.0,4.9,Dark Blue/Denim w/White Piping ,FWD,24.0,34.0,Gasoline ,1.8,0.0,True
Audi,2021,Used,6437.0,46401.0,4.9,Black ,AWD,20.0,28.0,Gasoline ,3.0,1.0,False
Audi,2018,Used,39000.0,36000.0,4.381503720140973,Black ,AWD,20.59922502075837,28.0,Gasoline ,3.0,0.0,False
Ford,2023,New,5.0,59025.0,4.8,– ,AWD,20.59922502075837,28.0,E85 Flex Fuel ,3.5,0.0,others
Hyundai,2017,Used,72115.0,17475.0,4.5,Black ,AWD,24.0,28.0,Gasoline ,1.6,1.0,True
INFINITI,2017,Used,72914.0,21998.0,5.0,Black ,AWD,21.0,28.0,Gasoline ,2.0,1.0,False
Audi,2021,Used,39930.0,99800.0,4.7,Black ,AWD,13.0,19.0,Gasoline ,4.0,0.0,False
Dodge,2014,Used,88891.0,9500.0,4.9,Black ,FWD,21.0,30.0,Gasoline ,2.4,1.0,True
Buick,2018,Used,44114.0,19772.0,4.8,Ebony ,FWD,22.0,32.0,Gasoline ,2.0,1.0,False
BMW,2015,Used,145848.0,8995.0,4.381503720140973,Black ,AWD,16.0,24.0,Gasoline ,4.4,0.0,False
INFINITI,2015,Certified,42663.0,33745.0,4.9,Monaco Red ,RWD,18.0,26.0,Gasoline ,3.7,1.0,False
Audi,2020,Used,63016.0,48991.0,4.7,Black ,AWD,15.0,21.0,Gasoline ,4.0,1.0,False
Volkswagen,2016,Used,59057.0,18991.0,4.7,Black Anthracite ,AWD,17.0,23.0,Gasoline ,3.6,1.0,True
Jeep,2018,Used,31671.0,28881.0,4.7,Black ,4WD,17.0,21.0,Gasoline ,3.6,0.0,False
BMW,2021,Certified,25909.0,56888.0,4.1,Ivory White ,AWD,17.0,25.0,Gasoline ,4.4,1.0,True
Audi,2021,Certified,9372.0,29444.0,4.1,Black ,AWD,24.0,31.0,Gasoline ,2.0,0.0,True
Nissan,2023,New,2.0,63578.0,4.7,Black ,4WD,13.0,18.0,Gasoline ,5.6,0.0,others
Lexus,2016,Used,147616.0,15995.0,4.381503720140973,Beige ,AWD,19.0,26.0,Gasoline ,3.5,0.0,False
Nissan,2023,New,5.0,63900.0,4.7,Black ,4WD,13.0,18.0,Gasoline ,5.6,0.0,others
Nissan,2023,New,2.0,63900.0,4.7,Black ,4WD,13.0,18.0,Gasoline ,5.6,0.0,others
Nissan,2023,New,2.0,63500.0,4.7,Black ,4WD,13.0,18.0,Gasoline ,5.6,0.0,others
Cadillac,2020,Used,34851.0,25982.0,4.5,Light Platinum/Jet Black ,AWD,22.0,29.0,Gasoline ,2.0,0.0,True
Jeep,2017,Used,143581.0,12995.0,4.1,Black ,4WD,22.0,30.0,Gasoline ,2.4,0.0,False
Volkswagen,2022,Used,7841.0,42995.0,4.1,Titan Black w/Blue Accents ,AWD,20.0,28.0,Gasoline ,2.0,0.0,True
Ferrari,2023,Certified,1646.0,309499.0,4.381503720140973,Beige Tradizione ,RWD,16.0,23.0,Gasoline ,3.9,0.0,True
Chrysler,2018,Used,94366.0,18900.0,4.8,Black/Alloy ,FWD,19.0,28.0,Gasoline ,3.6,0.0,False
Cadillac,2015,Used,139286.0,26995.0,4.381503720140973,Jet Black w/Jet Black Accents ,4WD,15.0,21.0,Gasoline ,6.2,0.0,False
Lexus,2021,Used,25064.0,37988.0,4.9,Black ,AWD,22.0,27.0,Gasoline ,2.0,0.0,True
Nissan,2021,Used,45205.0,23586.0,4.9,Charcoal ,AWD,25.0,32.0,Gasoline ,2.5,1.0,True
Mercedes-Benz,2020,Used,42244.0,36479.0,4.8,Black ,AWD,24.0,31.0,Gasoline ,2.0,0.0,True
BMW,2016,Used,143877.0,15414.0,3.9,Coral Red / Black ,AWD,20.0,30.0,Gasoline ,3.0,0.0,False
BMW,2015,Used,117781.0,16995.0,4.381503720140973,Black ,AWD,20.0,29.0,Gasoline ,3.0,0.0,False
Mercedes-Benz,2017,Used,77746.0,27900.0,3.9,Black ,AWD,23.0,30.0,Gasoline ,2.0,1.0,False
BMW,2014,Used,90234.0,20900.0,3.9,Black ,AWD,20.0,30.0,Gasoline ,3.0,1.0,False
Jeep,2019,Used,27855.0,15988.0,4.7,Black ,FWD,22.0,30.0,Gasoline ,2.4,0.0,True
BMW,2016,Used,36087.0,45985.0,4.2,Mugello Red ,AWD,14.0,19.0,Gasoline ,4.4,0.0,True
Kia,2023,New,15.0,42670.0,4.1,Gray ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,others
Kia,2023,New,11.0,42670.0,4.1,Gray ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,others
BMW,2014,Used,82603.0,20985.0,4.2,Saddle Brown w/Exclusive Stitching ,AWD,20.0,30.0,Gasoline ,3.0,0.0,False
Cadillac,2020,Used,60610.0,37000.0,4.7,Black ,AWD,18.0,27.0,Gasoline ,3.6,1.0,False
BMW,2021,Used,46321.0,67685.0,4.5,Sakhir Orange ,AWD,13.0,18.0,Gasoline ,4.4,0.0,True
BMW,2015,Used,104000.0,17900.0,4.381503720140973,Black ,AWD,20.59922502075837,28.0,Gasoline ,3.0,1.0,False
Volvo,2017,Used,46726.0,23444.0,4.7,Charcoal ,AWD,22.0,31.0,Gasoline ,2.0,0.0,True
Mercedes-Benz,2016,Used,75221.0,24995.0,4.1,Black ,AWD,17.0,22.0,E85 Flex Fuel ,3.5,1.0,False
Jeep,2019,Used,20323.0,20998.0,4.381503720140973,Black ,4WD,21.0,29.0,Gasoline ,2.4,0.0,True
Jeep,2018,Used,20821.0,21998.0,4.381503720140973,Black ,4WD,24.0,31.0,Gasoline ,2.4,0.0,True
Toyota,2018,Used,59553.0,24995.0,4.1,Black ,RWD,21.0,28.0,Gasoline ,2.0,0.0,False
Nissan,2020,Used,91569.0,17900.0,4.1,Charcoal ,FWD,28.0,39.0,Gasoline ,2.5,0.0,True
Toyota,2017,Used,47008.0,17998.0,4.381503720140973,Black ,FWD,30.0,35.0,Gasoline ,1.5,0.0,True
Mazda,2023,Used,14778.0,27998.0,4.381503720140973,Black ,AWD,26.0,33.0,Gasoline ,2.5,0.0,True
Honda,2019,Used,57830.0,24998.0,4.381503720140973,Black ,FWD,28.0,38.0,Gasoline ,1.5,0.0,others
Jeep,2020,Used,26286.0,19995.0,4.1,Black ,4WD,21.0,29.0,Gasoline ,2.4,0.0,True
Nissan,2021,Used,24477.0,22424.0,4.381503720140973,Charcoal ,AWD,25.0,32.0,Gasoline ,2.5,0.0,True
Rivian,2023,Used,10689.0,68977.0,4.2,– ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
